datahora;semana_epidem
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-06;10
2020-03-07;10
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-06;10
2020-03-07;10
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-05;10
2020-03-06;10
2020-03-07;10
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-02-26; 9
2020-02-27; 9
2020-02-28; 9
2020-02-29; 9
2020-03-01;10
2020-03-02;10
2020-03-03;10
2020-03-04;10
2020-03-05;10
2020-03-06;10
2020-03-07;10
2020-03-08;11
2020-03-09;11
2020-03-10;11
2020-03-11;11
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
2020-04-26;18
2020-04-27;18
2020-04-28;18
2020-04-29;18
2020-04-30;18
2020-05-01;18
2020-05-02;18
2020-05-03;19
2020-05-04;19
2020-05-05;19
2020-05-06;19
2020-05-07;19
2020-05-08;19
2020-05-09;19
2020-05-10;20
2020-05-11;20
2020-05-12;20
2020-05-13;20
2020-05-14;20
2020-05-15;20
2020-05-16;20
2020-05-17;21
2020-05-18;21
2020-05-19;21
2020-05-20;21
2020-05-21;21
2020-05-22;21
2020-05-23;21
2020-03-12;11
2020-03-13;11
2020-03-14;11
2020-03-15;12
2020-03-16;12
2020-03-17;12
2020-03-18;12
2020-03-19;12
2020-03-20;12
2020-03-21;12
2020-03-22;13
2020-03-23;13
2020-03-24;13
2020-03-25;13
2020-03-26;13
2020-03-27;13
2020-03-28;13
2020-03-29;14
2020-03-30;14
2020-03-31;14
2020-04-01;14
2020-04-02;14
2020-04-03;14
2020-04-04;14
2020-04-05;15
2020-04-06;15
2020-04-07;15
2020-04-08;15
2020-04-09;15
2020-04-10;15
2020-04-11;15
2020-04-12;16
2020-04-13;16
2020-04-14;16
2020-04-15;16
2020-04-16;16
2020-04-17;16
2020-04-18;16
2020-04-19;17
2020-04-20;17
2020-04-21;17
2020-04-22;17
2020-04-23;17
2020-04-24;17
2020-04-25;17
